x,y,z
3079680.89,1416256.1686,894
3081133.85295,1416302.60085,894
3079647.29,1416224.7069,890
3081120.1560500003,1416238.6677,890
3079498.165,1416272.4035999998,870
3080973.275,1417098.74,870
3079664.44,1416224.4174000002,892
3080991.5492000002,1416977.7349999999,892
3079628.085,1416191.9085,888
3081135.0754,1416236.9174000002,888
3079552.2199999997,1416262.14205,880
3080980.2961,1417030.835,880
3080982.6245,1417043.3399999999,878
3079540.14,1416272.60895,878
3080768.4299999997,1417069.49,874
3080762.3099999996,1417056.415,876
3079510.015,1416271.8183499998,872
3080965.2800000003,1417084.1,872
3082321.4315,1418072.77,834
3079404.9000000004,1416228.3492,866
3080981.545,1417127.7850000001,866
3079367.265,1416276.8695,862
3082737.31,1417720.80125,832
3079385.58,1416277.1635,864
3080976.7777,1417144.3399999999,864
3080195,1419967.49,862
3079347.4699999997,1416272.93005,860
3080210.52,1419974.885,860
3080229.49,1419984.4,858
3079175.1500000004,1416272.6933,858
3081191.04,1418954.97,854
3079265.025,1418308.24,854
3079270.685,1418314.65,856
3080653.89,1420000,852
3079257.7649999997,1418303.28,852
3081423.92655,1418966.24,850
3084284.635,1416148.8727,852
3084498.475,1416176.175,852
3079243.415,1418296.775,850
3084249.02,1416144.2418,850
3084545.85585,1416225.94,850
3078969.71875,1416262.4738,848
3081721.8016999997,1416362.8399999999,848
3084418.465,1416295.385,848
3078946.2345000003,1416265.3375,846
3081374.5055,1418984.74,846
3084469.67,1416325.295,846
3081388.7487500003,1418994.4,844
3083962.1799999997,1416260.1546,840
3084683.355,1416403.45,840
3078927.92165,1416278.48735,844
3084482.09,1416343.135,844
3084117.4699999997,1416270.7491000001,842
3084670.3,1416369.81,842
3082151.495,1417831.15,842
3079186.325,1418253.095,842
3079177.01,1418241.19,840
3082293.17,1417812.2611500002,840
3083151.9699999997,1416297,842
3084085.49175,1416413.92,838
3084989.6414,1416486.76,838
3083134.48,1416340.04,840
3079294.0149999997,1418231.635,838
3083840.685,1416296.24695,836
3085134.5501,1416555.65,836
3083099.6,1416400.85,836
3080971.435,1419124.56895,838
3078793.675,1416254.9353,836
3082350.4000000004,1417752.4616999999,836
3083120.455,1416365.375,838
3086060.7649999997,1417055.375,828
3078618.1900000004,1416144.03,834
3085573.23035,1416583.875,834
3083831.69,1416296.19545,834
3083119.145,1416424.665,834
3078582.0659,1416163.255,832
3086252.99,1416285.17,816
3082761.675,1416217.755,832
3086062.275,1417128.85,830
3078519.88165,1416180.915,830
3083532.775,1416218.62,830
3078690.635,1416351.15,828
3086094.5949999997,1416832.28,826
3082798.065,1416185.1400000001,828
3078659.815,1416350.17,826
3086192.85,1416809.75,824
3086262.24,1416463.335,822
3086257.9299999997,1416316.25,820
3086252.165,1416286.435,818
3082790.5,1416052.26,816
3082784.14,1416054.45,818
3078342.2,1416054.85,814
3078314.49,1416028.8599999999,812
3086907.215,1416103.065,836
3083907.21,1416031.66,838
3083905.965,1416029.63,836
3083522.69,1416225.625,828
3082792.295,1416048.4249999998,814
3082868.425,1416030.52,838
3078313.99,1416027.165,808
3078314.1,1416027.7000000002,810
3083503.645,1416221.8250000002,826
3078059.795,1416129.99885,808
3086971.9,1416200.7650000001,836
3083503.495,1416208.185,824
3082912.5949999997,1416060.495,830
3078055.685,1416131.1712500001,806
3078362.1849999996,1416074.355,812
3082914.005,1416060.32,828
3078003.225,1416094.4566000002,804
3078359.25,1416069.9649999999,808
3078361.49,1416073.22,810
3083875.2249999996,1416164.53,832
3082845.3,1416107.335,830
3084210.2750000004,1416191.21,838
3083873.7750000004,1416170.2850000001,830
3083982.605,1416100.74,830
3083979.4450000003,1416105.6099999999,832
3078152.255,1416242.44045,824
3080922.065,1416582.8900000001,938
3082848.23,1416101.25,832
3084271.94,1416141.855,836
3083874.0949999997,1416171.3599999999,828
3078050.5700000003,1416144.1400000001,804
3078050.7249999996,1416133.94,802
